,posicionamento,Regiao,ano,voto_count,Total,voto_norm
53,Centro,Norte,2016,1511,123437.0,1.2241062242277436
153,Centro-direita,Norte,2016,1427,123437.0,1.1560553156671014
251,Centro-esquerda,Norte,2016,583,123437.0,0.47230571060541005
349,Direita,Norte,2016,715,123437.0,0.5792428526292766
449,Esquerda,Norte,2016,1103,123437.0,0.8935732397903384
54,Centro,Norte,2017,3009,123437.0,2.4376807602258643
154,Centro-direita,Norte,2017,1551,123437.0,1.2565114187804305
252,Centro-esquerda,Norte,2017,571,123437.0,0.462584152239604
350,Direita,Norte,2017,1165,123437.0,0.943801291347003
450,Esquerda,Norte,2017,1207,123437.0,0.977826745627324
55,Centro,Norte,2018,1925,123437.0,1.559499987848052
155,Centro-direita,Norte,2018,1006,123437.0,0.814990643000073
253,Centro-esquerda,Norte,2018,243,123437.0,0.19686155690757226
351,Direita,Norte,2018,627,123437.0,0.5079514246133655
451,Esquerda,Norte,2018,723,123437.0,0.5857238915398139
56,Centro,Norte,2019,2691,123437.0,2.1800594635320043
156,Centro-direita,Norte,2019,2604,123437.0,2.10957816537991
254,Centro-esquerda,Norte,2019,1364,123437.0,1.1050171342466197
352,Direita,Norte,2019,920,123437.0,0.7453194747117963
452,Esquerda,Norte,2019,1663,123437.0,1.3472459635279534
57,Centro,Norte,2020,6915,123437.0,5.60204800829573
157,Centro-direita,Norte,2020,4793,123437.0,3.8829524372756956
255,Centro-esquerda,Norte,2020,1861,123437.0,1.5076516765637533
353,Direita,Norte,2020,2795,123437.0,2.26431296936899
453,Esquerda,Norte,2020,2236,123437.0,1.8114503754951918
58,Centro,Norte,2021,10520,123437.0,8.522566167356626
158,Centro-direita,Norte,2021,6421,123437.0,5.201843855570048
256,Centro-esquerda,Norte,2021,3179,123437.0,2.575402837074783
354,Direita,Norte,2021,6292,123437.0,5.097337103137633
454,Esquerda,Norte,2021,5359,123437.0,4.341485940196214
59,Centro,Norte,2022,3437,123437.0,2.784416341939613
159,Centro-direita,Norte,2022,1578,123437.0,1.278384925103494
257,Centro-esquerda,Norte,2022,921,123437.0,0.7461296045756135
355,Direita,Norte,2022,1447,123437.0,1.1722579129434447
455,Esquerda,Norte,2022,1906,123437.0,1.544107520435526
60,Centro,Sudeste,2003,1008,367678.0,0.2741529272896393
160,Centro-direita,Sudeste,2003,319,367678.0,0.08676069821963783
258,Centro-esquerda,Sudeste,2003,340,367678.0,0.09247221753817199
356,Direita,Sudeste,2003,837,367678.0,0.22764484141014693
456,Esquerda,Sudeste,2003,946,367678.0,0.2572903464444432
61,Centro,Sudeste,2004,2396,367678.0,0.6516571565337062
161,Centro-direita,Sudeste,2004,655,367678.0,0.17814500731618427
259,Centro-esquerda,Sudeste,2004,689,367678.0,0.18739222907000147
357,Direita,Sudeste,2004,1923,367678.0,0.5230119833114846
457,Esquerda,Sudeste,2004,2209,367678.0,0.6007974368877116
62,Centro,Sudeste,2005,1624,367678.0,0.4416908272999744
162,Centro-direita,Sudeste,2005,655,367678.0,0.17814500731618427
260,Centro-esquerda,Sudeste,2005,633,367678.0,0.1721615108872437
358,Direita,Sudeste,2005,1159,367678.0,0.3152214709610039
458,Esquerda,Sudeste,2005,1638,367678.0,0.4454985068456639
63,Centro,Sudeste,2006,1912,367678.0,0.5200202350970142
163,Centro-direita,Sudeste,2006,1004,367678.0,0.27306501884801376
261,Centro-esquerda,Sudeste,2006,1147,367678.0,0.31195774563612727
359,Direita,Sudeste,2006,1407,367678.0,0.38267179434178816
459,Esquerda,Sudeste,2006,1762,367678.0,0.479223668536056
64,Centro,Sudeste,2007,2513,367678.0,0.6834784784512535
164,Centro-direita,Sudeste,2007,1196,367678.0,0.32528462404604025
262,Centro-esquerda,Sudeste,2007,829,367678.0,0.22546902452689582
360,Direita,Sudeste,2007,1726,367678.0,0.46943249256142605
460,Esquerda,Sudeste,2007,2359,367678.0,0.6415940034486698
65,Centro,Sudeste,2008,1826,367678.0,0.4966302036020649
165,Centro-direita,Sudeste,2008,838,367678.0,0.2279168185205533
263,Centro-esquerda,Sudeste,2008,643,367678.0,0.17488128199130762
361,Direita,Sudeste,2008,1972,367678.0,0.5363388617213976
461,Esquerda,Sudeste,2008,2191,367678.0,0.5959018489003965
66,Centro,Sudeste,2009,2961,367678.0,0.8053242239133155
166,Centro-direita,Sudeste,2009,1225,367678.0,0.3331719602478256
264,Centro-esquerda,Sudeste,2009,1848,367678.0,0.5026137000310054
362,Direita,Sudeste,2009,2741,367678.0,0.7454892596239101
462,Esquerda,Sudeste,2009,2925,367678.0,0.7955330479386855
67,Centro,Sudeste,2010,1491,367678.0,0.4055178716159248
167,Centro-direita,Sudeste,2010,623,367678.0,0.16944173978317983
265,Centro-esquerda,Sudeste,2010,930,367678.0,0.25293871267794105
363,Direita,Sudeste,2010,1413,367678.0,0.38430365700422653
463,Esquerda,Sudeste,2010,1521,367678.0,0.41367718492811645
68,Centro,Sudeste,2011,3028,367678.0,0.8235466903105435
168,Centro-direita,Sudeste,2011,785,367678.0,0.2135020316690147
266,Centro-esquerda,Sudeste,2011,726,367678.0,0.19745538215503786
364,Direita,Sudeste,2011,1102,367678.0,0.2997187756678398
464,Esquerda,Sudeste,2011,2175,367678.0,0.5915502151338944
69,Centro,Sudeste,2012,2644,367678.0,0.7191074799144904
169,Centro-direita,Sudeste,2012,547,367678.0,0.14877147939229435
267,Centro-esquerda,Sudeste,2012,805,367678.0,0.21894157387714247
365,Direita,Sudeste,2012,847,367678.0,0.2303646125142108
465,Esquerda,Sudeste,2012,1566,367678.0,0.42591615489640394
70,Centro,Sudeste,2013,5390,367678.0,1.4659566250904323
170,Centro-direita,Sudeste,2013,913,367678.0,0.24831510180103245
268,Centro-esquerda,Sudeste,2013,1988,367678.0,0.5406904954878997
366,Direita,Sudeste,2013,1426,367678.0,0.38783935943950953
466,Esquerda,Sudeste,2013,3202,367678.0,0.870870707521255
71,Centro,Sudeste,2014,2795,367678.0,0.760176023585855
171,Centro-direita,Sudeste,2014,643,367678.0,0.17488128199130762
269,Centro-esquerda,Sudeste,2014,892,367678.0,0.24260358248249825
367,Direita,Sudeste,2014,314,367678.0,0.0854008126676059
467,Esquerda,Sudeste,2014,1813,367678.0,0.4930945011667818
72,Centro,Sudeste,2015,8624,367678.0,2.345530600144692
172,Centro-direita,Sudeste,2015,1479,367678.0,0.40225414629104816
270,Centro-esquerda,Sudeste,2015,4336,367678.0,1.1792927507220992
368,Direita,Sudeste,2015,3106,367678.0,0.8447609049222418
468,Esquerda,Sudeste,2015,7375,367678.0,2.0058311892471132
73,Centro,Sudeste,2016,4626,367678.0,1.2581661127399517
173,Centro-direita,Sudeste,2016,3026,367678.0,0.8230027360897307
271,Centro-esquerda,Sudeste,2016,2248,367678.0,0.6114045441935606
369,Direita,Sudeste,2016,1857,367678.0,0.5050614940246629
469,Esquerda,Sudeste,2016,4812,367678.0,1.30875385527554
74,Centro,Sudeste,2017,7327,367678.0,1.9927762879476063
174,Centro-direita,Sudeste,2017,3575,367678.0,0.9723181697028379
272,Centro-esquerda,Sudeste,2017,2486,367678.0,0.6761350964702811
370,Direita,Sudeste,2017,3194,367678.0,0.8686948906380039
470,Esquerda,Sudeste,2017,4919,367678.0,1.3378554060890235
75,Centro,Sudeste,2018,4282,367678.0,1.1646059867601544
175,Centro-direita,Sudeste,2018,2119,367678.0,0.5763194969511366
273,Centro-esquerda,Sudeste,2018,1062,367678.0,0.28883969125158426
371,Direita,Sudeste,2018,2075,367678.0,0.5643525040932555
471,Esquerda,Sudeste,2018,2838,367678.0,0.7718710393333297
76,Centro,Sudeste,2019,5585,367678.0,1.5189921616196782
176,Centro-direita,Sudeste,2019,6033,367678.0,1.64083790708174
274,Centro-esquerda,Sudeste,2019,3597,367678.0,0.9783016661317784
372,Direita,Sudeste,2019,9044,367678.0,2.459760986515375
472,Esquerda,Sudeste,2019,6169,367678.0,1.6778267940970089
77,Centro,Sudeste,2020,12175,367678.0,3.311321319197776
177,Centro-direita,Sudeste,2020,11698,367678.0,3.181588237533929
275,Centro-esquerda,Sudeste,2020,5142,367678.0,1.3985063017096482
373,Direita,Sudeste,2020,15260,367678.0,4.1503707048014835
473,Esquerda,Sudeste,2020,8287,367678.0,2.253874313937739
78,Centro,Sudeste,2021,19692,367678.0,5.355773258122596
178,Centro-direita,Sudeste,2021,15958,367678.0,4.340210727865143
276,Centro-esquerda,Sudeste,2021,10403,367678.0,2.8293778795576565
374,Direita,Sudeste,2021,28430,367678.0,7.732309248853617
474,Esquerda,Sudeste,2021,16927,367678.0,4.603756547848933
79,Centro,Sudeste,2022,6468,367678.0,1.7591479501085188
179,Centro-direita,Sudeste,2022,6220,367678.0,1.6916976267277346
277,Centro-esquerda,Sudeste,2022,2957,367678.0,0.8042363154716899
375,Direita,Sudeste,2022,5140,367678.0,1.3979623474888352
475,Esquerda,Sudeste,2022,5492,367678.0,1.4936982903518838
80,Centro,Sul,2003,517,160606.0,0.3219057818512384
180,Centro-direita,Sul,2003,89,160606.0,0.05541511525098689
278,Centro-esquerda,Sul,2003,99,160606.0,0.061641532694918004
376,Direita,Sul,2003,386,160606.0,0.24033971333574086
476,Esquerda,Sul,2003,416,160606.0,0.25901896566753424
81,Centro,Sul,2004,1236,160606.0,0.7695851960698853
181,Centro-direita,Sul,2004,191,160606.0,0.11892457317908421
279,Centro-esquerda,Sul,2004,178,160606.0,0.11083023050197378
377,Direita,Sul,2004,964,160606.0,0.6002266415949591
477,Esquerda,Sul,2004,921,160606.0,0.5734530465860553
82,Centro,Sul,2005,830,160606.0,0.5167926478462822
182,Centro-direita,Sul,2005,199,160606.0,0.1239057071342291
280,Centro-esquerda,Sul,2005,154,160606.0,0.0958868286365391
378,Direita,Sul,2005,625,160606.0,0.38915109024569444
478,Esquerda,Sul,2005,675,160606.0,0.42028317746535
